491399324358361_539487226216237
491399324358361_539082552923371
491399324358361_539062096258750
491399324358361_539040606260899
491399324358361_539017149596578
491399324358361_538822772949349
491399324358361_538723222959304
491399324358361_538715299626763
491399324358361_538674206297539
491399324358361_538480969650196
491399324358361_538402422991384
491399324358361_538252739673019
491399324358361_538241689674124
491399324358361_538003786364581
491399324358361_537810759717217
491399324358361_537036453127981
491399324358361_537614726403487
491399324358361_537491936415766
491399324358361_537449496420010
491399324358361_537249963106630
491399324358361_537228039775489
491399324358361_537120053119621
491399324358361_537071089791184
491399324358361_536964853135141
491399324358361_536791849819108
491399324358361_536710589827234
491399324358361_536632179835075
491399324358361_536616639836629
491399324358361_536373556527604
491399324358361_536338009864492
491399324358361_536207436544216
491399324358361_536088069889486
491399324358361_536033339894959
491399324358361_535911143240512
491399324358361_535879199910373
491399324358361_535818163249810
491399324358361_535806469917646
491399324358361_535744259923867
491399324358361_535741366590823
491399324358361_535607369937556
491399324358361_535599466605013
491399324358361_535531843278442
491399324358361_535425733289053
491399324358361_535277759970517
491399324358361_535142176650742
491399324358361_535136699984623
491399324358361_535086759989617
491399324358361_534895913342035
491399324358361_534857703345856
491399324358361_534841133347513
491399324358361_534792596685700
491399324358361_534678083363818
491399324358361_534672976697662
491399324358361_534605396704420
491399324358361_534583553373271
491399324358361_534529023378724
491399324358361_534333093398317
491399324358361_534320190066274
491399324358361_534252883406338
491399324358361_534226916742268
491399324358361_534225503409076
491399324358361_534054766759483
491399324358361_534005123431114
491399324358361_534000236764936
491399324358361_533964783435148
491399324358361_533955790102714
491399324358361_533757713455855
491399324358361_533781500120143
491399324358361_533742440124049
491399324358361_533697516795208
491399324358361_533495173482109
491399324358361_533438990154394
491399324358361_533436010154692
491399324358361_533436923487934
491399324358361_533428990155394
491399324358361_533408586824101
491399324358361_533397486825211
491399324358361_533383630159930
491399324358361_533260426838917
491399324358361_533170316847928
491399324358361_533158026849157
491399324358361_533160180182275
491399324358361_533010600197233
491399324358361_532880736876886
491399324358361_532849906879969
491399324358361_532824146882545
491399324358361_532663946898565
491399324358361_532601193571507
491399324358361_532577200240573
491399324358361_532540876910872
491399324358361_532527160245577
491399324358361_532376120260681
491399324358361_532257900272503
491399324358361_532243630273930
491399324358361_532075173624109
491399324358361_531974136967546
491399324358361_531929763638650
