蔡英文
蔡英文
Tsai Ing-wen
tsaiingwen
朱立倫
﻿朱立伦
朱立伦
﻿Zhu Lilun
Zhu Lilun
Eric chu
﻿Eric chu
宋楚瑜
﻿宋楚瑜
James Soong
﻿James Soong
